InvoiceNo,InvoiceRevenue,InvoiceQuantity
566008,153.99,91
565312,145.02,69
564559,478.96,292
566625,781.11,734
568206,193.39,330
564145,399.35,261
566051,86.0,56
564398,86.1,30
565421,158.37,95
566537,371.7,134
566081,253.99,95
573270,296.07,150
574310,770.66,422
569862,174.37,278
571864,2503.74,566
570493,70.8,10
570859,110.38,68
570849,204.0,80
576252,889.46,774
575269,1130.74,730
578263,280.4,504
575605,350.02,217
580816,430.7,482
581108,204.38,342
561614,633.07,286
540985,105.54,24
538346,756.45,387
540992,419.83,296
540496,328.54,187
547057,130.05,63
547572,251.21,143
546247,101.34,106
549248,54.52,140
544650,53.5,9
552852,414.5,214
550333,456.2,164
555007,208.8,144
552764,208.56,232
555494,204.85,79
551397,232.65,123
554860,548.39,229
553674,115.6,37
558086,221.38,110
558892,298.74,333
558542,368.3,123
562852,392.17,217
560095,30.5,6
557308,109.96,47
558376,60.8,80
562258,179.22,111
557848,88.62,78
563917,589.15,474
568323,304.36,136
566408,1246.33,786
567138,488.45,189
563734,254.87,217
567280,10267.88,6932
567578,460.63,432
566487,358.2,316
563943,540.92,268
567794,820.78,474
567880,634.85,375
563705,307.49,213
565090,43.8,24
565087,137.38,20
568369,249.7,213
567803,3877.56,768
567979,245.64,258
568651,829.99,267
565142,152.64,144
571289,2142.79,1370
572769,959.7,218
572837,409.78,313
569635,287.94,493
572934,160.0,4
571737,764.74,370
580062,173.15,86
576734,184.4,96
576626,376.72,256
579403,436.1,180
579156,304.94,86
579523,729.6,204
579939,215.25,207
575984,141.44,68
580916,6.31,9
580682,186.12,228
581134,177.43,127
581574,277.08,88
580656,235.57,123
537058,351.43,197
543029,349.89,111
541274,493.45,249
540849,492.65,197
541280,1199.33,679
539294,353.8,91
541874,970.6,528
539185,216.34,99
539760,424.17,250
539280,76.55,17
539032,74.4,40
539379,177.15,65
547881,192.34,67
549193,415.7,238
547070,200.53,129
545324,268.6,68
549245,144.86,94
549054,312.19,109
544095,363.7,64
546857,217.43,192
551035,632.74,173
556416,247.25,64
556490,302.24,96
550918,335.5,112
555396,455.25,198
556040,320.58,146
549713,282.4,141
554465,300.8,170
551344,433.7,266
556060,1118.04,492
556790,256.77,102
557853,801.0,434
562922,721.95,521
561236,908.46,810
561814,368.45,143
563012,272.97,188
559706,347.29,240
559545,288.42,181
556814,153.24,34
559861,179.17,94
563200,143.72,51
568132,61.58,38
566193,1010.95,517
565239,608.08,273
564537,154.24,94
563503,135.51,449
565056,566.38,114
565781,701.38,450
563362,191.14,262
570091,627.12,600
570428,428.93,449
574090,326.87,236
571848,283.89,132
569846,2626.3,1326
572087,1056.9,530
574297,528.08,336
570875,620.13,395
573544,356.14,187
571709,308.74,228
573778,1350.9,474
572313,129.0,74
570128,910.0,512
577535,341.24,261
577748,1437.5,828
578092,314.77,393
576025,121.4,72
580419,240.67,149
580760,99.66,138
581059,301.2,114
537037,256.9,92
537795,312.9,92
542231,1104.11,587
542237,475.39,315
541795,259.6,131
538853,214.77,270
538116,685.0,240
538311,311.95,131
541875,301.28,272
539468,663.8,176
541854,105.3,66
541111,353.5,176
537136,267.46,147
542141,326.4,128
544282,655.28,318
546365,987.42,618
548650,490.4,368
545998,987.7,458
548868,556.77,187
545692,510.7,188
546862,914.93,254
544156,296.5,98
548673,291.44,128
551869,413.16,525
552010,292.42,196
556067,245.05,147
552196,138.19,45
554697,220.38,104
551879,311.3,78
555507,300.14,218
549585,158.4,32
552850,61.95,21
553011,309.05,149
551387,226.85,79
561627,707.09,473
558535,256.67,120
562917,432.0,600
562725,358.49,155
557009,300.11,509
557782,406.3,112
561880,173.88,92
558383,282.23,147
567656,4936.65,1211
567654,322.8,162
567824,37.5,1
569126,341.36,205
564147,765.9,508
569130,116.3,19
564330,213.55,72
564434,628.38,470
568191,1039.01,766
570653,172.91,115
571502,1232.95,593
573381,349.38,205
569367,769.11,370
569486,316.17,257
573328,242.7,133
574710,489.66,250
574067,3962.85,1161
570852,333.6,160
572899,558.6,174
575051,428.89,211
578026,599.78,177
579358,214.45,81
575342,373.27,103
578677,187.14,121
578548,238.51,164
576838,353.98,170
577085,310.5,194
576651,609.07,209
577156,604.73,423
579440,471.98,202
576400,452.14,288
577139,42.9,22
580501,495.83,231
580893,164.18,123
580759,678.2,840
568179,372.24,177
564188,114.06,58
546120,79.92,104
536529,161.0,38
541657,87.75,21
538593,476.76,366
538808,632.52,751
542216,802.56,690
540991,307.05,73
541591,309.94,308
536762,307.68,231
540361,304.2,274
544456,542.15,216
547570,137.35,85
544069,255.6,98
545445,779.92,292
547498,188.7,110
547945,206.13,139
547690,335.32,262
548622,249.6,153
546917,743.71,265
546749,328.6,44
547907,88.2,38
548861,304.25,183
554549,328.35,145
556051,180.04,49
550777,307.16,371
554415,747.24,298
552651,288.68,247
555630,302.72,284
555936,286.34,216
552881,161.04,76
551352,303.62,140
550942,225.15,71
559469,252.37,109
560098,127.88,50
560826,495.24,412
562199,174.0,91
560473,483.02,174
560268,211.69,103
560362,150.78,138
560894,751.75,269
559132,255.95,257
567513,305.5,106
564859,386.64,216
567625,307.18,235
566275,451.39,240
569213,142.51,31
566270,848.98,390
567709,461.79,373
567936,713.32,444
563038,940.64,846
565565,131.64,34
565416,358.66,404
571247,878.46,444
574547,488.35,221
570108,467.2,336
570467,1579.51,1228
573277,111.22,36
574713,237.57,106
572126,167.62,66
569737,355.9,259
570597,737.7,422
572964,701.79,284
578044,722.14,394
578117,223.5,134
580047,67.93,49
580116,1274.69,1101
575587,382.56,435
575932,449.87,257
578254,366.8,180
576781,178.34,190
578125,3956.68,3806
576190,137.58,61
575178,345.8,110
576050,39.95,1
581192,252.72,151
580679,318.45,191
580362,247.1,86
580386,188.9,50
549192,348.85,239
538312,256.32,167
539281,476.35,283
537649,112.6,36
538508,863.39,466
540687,237.19,177
538080,251.0,110
537864,336.94,238
540499,348.2,88
540635,456.97,195
545226,1943.4,852
545063,134.72,47
549018,374.57,155
545663,162.08,203
548353,760.18,592
548665,193.08,100
552039,4655.85,3253
553419,162.95,47
552528,172.95,110
556481,145.27,69
555116,317.3,173
552246,19.72,9
551003,339.93,218
551197,166.4,68
559107,127.53,114
560875,606.46,294
558993,504.98,365
557742,526.16,309
558812,750.9,346
562539,331.57,191
560916,325.64,229
562431,47.29,29
563352,450.05,160
566287,133.37,49
566284,160.2,72
568657,249.77,188
564484,158.36,98
573955,459.8,242
572182,425.38,436
572775,344.22,147
573129,118.8,24
573897,560.23,801
575368,225.18,101
576852,294.32,194
577480,986.17,537
578433,474.16,248
577148,1253.66,586
576657,409.02,262
576349,111.38,30
575303,176.55,90
578333,332.96,202
575165,91.04,46
580664,248.08,170
580173,77.84,28
581010,218.53,273
580694,240.32,283
538006,163.2,64
538846,11.0,4
540671,322.53,163
541012,271.09,244
537199,151.44,111
539041,231.22,410
539450,196.75,78
540975,289.7,91
536385,130.85,53
540406,495.0,300
542223,100.85,47
542025,303.8,76
540146,261.5,138
536556,101.55,71
541876,117.4,38
541919,352.42,318
537248,56.25,39
545664,463.63,84
547548,202.22,163
542527,522.08,266
545907,300.36,274
545224,182.7,86
545821,591.02,338
548547,226.85,147
548234,315.0,220
544315,23.95,19
550523,267.91,145
551158,358.38,136
551088,395.75,173
552310,149.38,127
553008,191.44,77
550145,669.2,287
553553,417.71,170
551665,374.0,230
553189,419.34,189
551714,169.13,79
551686,463.66,335
554975,843.06,314
561773,182.55,88
559678,214.25,66
562574,601.69,408
562393,1019.44,476
556953,1012.86,268
562611,809.82,492
559902,103.28,95
562712,425.25,315
556629,593.72,284
565118,559.72,208
567290,5350.4,3717
567196,392.4,196
565932,222.45,87
568951,418.7,110
565466,147.7,82
568213,305.12,184
566040,459.99,243
563032,256.88,264
563188,303.22,118
570271,292.99,233
570697,140.37,83
571322,451.6,208
572290,391.86,310
574831,138.94,257
573745,318.41,127
572297,161.81,55
576057,213.84,202
579524,302.56,134
577549,430.32,364
575046,244.56,162
579442,262.8,88
575297,172.14,50
579138,313.14,544
580441,229.16,114
580657,300.54,191
536673,339.84,504
537614,322.8,137
538532,318.85,117
539639,37.67,15
538992,428.82,135
536370,855.86,449
536590,205.86,74
548534,269.62,184
546520,706.6,498
547658,357.53,228
542568,160.05,67
545158,584.35,52
545343,162.3,62
546423,220.47,124
548003,289.25,140
545408,848.05,335
547107,174.16,115
549291,252.52,137
551413,314.22,90
555095,1306.49,608
552703,249.19,126
551293,428.64,618
549325,609.74,262
553183,305.45,137
555642,496.46,242
554135,92.92,44
555917,199.5,20
556478,226.49,455
552058,647.75,372
555559,300.2,206
559318,177.21,261
560285,675.7,382
560878,201.18,138
556732,474.87,238
561512,221.29,142
559831,416.9,240
560606,293.07,321
559364,761.92,412
558639,360.8,152
561688,310.07,196
567159,426.95,81
563372,48.0,48
564489,662.56,310
567866,724.94,480
568798,576.65,338
567339,751.16,641
569134,609.05,251
568690,466.12,278
568013,511.82,338
567911,458.2,391
565994,121.74,38
568170,256.64,161
564272,640.0,2000
569977,130.22,24
572307,1172.73,509
574744,317.36,112
571216,207.5,110
572131,206.66,190
573123,893.46,626
572277,191.6,108
570861,310.44,372
574838,140.0,5
574273,213.08,120
576932,492.51,209
577736,110.92,67
579154,218.96,116
579307,447.74,158
577074,243.96,284
575889,184.26,106
578038,346.14,186
581377,344.17,151
580529,124.01,24
580680,591.01,305
581382,319.45,223
577745,461.4,404
537476,957.5,550
536970,1314.0,120
538095,174.72,67
542059,106.83,81
538513,179.1,86
537047,326.6,181
537915,254.03,118
540702,140.49,81
536947,686.4,439
536957,791.7,234
541979,282.44,47
540316,464.82,204
542269,675.58,259
539267,253.5,130
538815,179.87,75
537215,358.56,108
537385,125.1,37
537681,304.2,175
542713,1009.8,475
545086,353.43,214
546246,789.9,322
546429,365.37,367
545536,410.0,126
545709,282.66,191
556197,202.38,114
552721,439.6,162
553706,302.64,174
554989,88.88,78
555721,45.0,3
557305,187.05,66
558102,185.82,68
558295,333.65,255
558623,163.9,103
562105,174.11,113
556972,149.52,48
560034,300.99,113
560106,772.43,747
559814,370.16,238
563928,739.43,439
566056,4.11,6
566601,179.19,50
565672,556.26,326
567074,287.4,145
565152,386.66,250
566434,636.44,276
567676,197.29,249
568869,53.2,24
570228,254.18,94
574304,488.08,158
574084,364.22,278
571282,153.64,87
574555,216.13,198
573918,132.53,53
571465,188.88,164
573908,354.49,77
570667,355.8,162
569736,508.58,255
572908,278.58,106
572217,97.25,115
572854,367.74,120
580105,520.66,198
579399,460.83,262
577031,301.64,170
575214,1764.72,1031
575678,579.15,449
578277,329.12,212
577128,130.49,59
580615,1854.83,1005
580997,691.64,325
581253,103.45,27
565777,106.8,21
545835,117.55,41
538514,786.35,303
541268,221.44,116
541223,254.54,177
536605,272.65,107
540363,185.1,618
540545,359.19,254
539404,108.92,60
538181,151.5,58
537789,623.42,214
537670,514.39,151
541015,226.37,75
548978,784.45,393
548358,836.79,465
549099,225.52,113
546414,183.25,47
554985,582.73,258
555077,147.48,44
550305,417.93,560
550272,1612.83,3843
554065,765.28,488
559653,164.22,90
560569,557.68,334
562878,120.19,77
560568,554.84,248
557510,305.04,204
569037,499.49,565
568781,2505.84,1000
567174,204.4,117
568148,324.0,80
563574,222.45,154
571671,1181.52,933
574536,292.65,232
570129,519.47,293
570674,768.64,1704
572037,877.71,709
570505,379.79,263
572321,388.58,354
572895,67.74,19
573747,151.3,177
571506,126.25,21
569329,441.82,195
579447,628.16,279
579193,491.12,390
579364,194.55,73
578372,37.24,8
581230,537.89,494
580661,108.69,53
558922,157.4,40
558204,243.76,124
557849,308.35,145
566191,442.66,210
565208,305.96,100
542005,337.3,253
536834,35.4,12
537668,48.8,20
537141,517.65,165
540489,559.85,199
542411,242.42,110
540520,195.45,156
537650,289.35,124
537804,130.64,116
537241,364.92,172
538841,170.55,75
540115,112.65,75
541362,311.48,262
543054,313.76,212
548909,705.84,432
543284,137.65,71
544800,299.95,97
542862,159.95,76
542538,367.29,235
542708,662.38,218
548326,189.84,168
544906,528.32,308
553488,133.68,72
555406,385.19,259
552013,2388.31,1771
554030,718.64,454
552023,400.3,312
555108,659.52,165
550362,635.0,146
550131,108.04,114
550997,488.01,351
550633,300.09,186
555590,75.0,60
551687,309.35,468
556271,155.1,50
557893,348.6,268
560491,158.65,97
562881,409.61,265
561203,311.76,316
560824,134.57,77
560048,132.16,127
562722,1109.34,808
568527,765.0,539
567905,731.54,408
565737,303.93,172
563712,311.78,230
568897,243.56,126
566959,395.55,341
566431,303.36,254
566818,202.56,144
573326,463.82,228
570275,2482.44,1263
573876,516.76,385
571317,353.73,198
571717,202.68,146
572933,495.86,270
569769,100.8,34
569850,287.4,276
571266,437.86,133
571560,400.92,170
574726,387.39,301
573138,695.03,250
569459,702.04,374
569640,2145.38,962
573769,329.37,214
578935,310.11,138
576570,179.78,90
578155,164.77,68
575954,433.0,356
578936,505.76,277
576187,229.04,152
577094,149.29,54
580118,393.92,228
578359,1074.0,600
577314,936.64,240
578011,292.59,204
576392,332.46,114
578694,234.24,126
580364,234.88,316
580901,244.41,171
540799,15.3,6
542345,149.49,93
537685,204.87,171
541794,138.55,56
536707,199.65,41
539049,1048.64,364
541841,161.03,81
537423,166.0,104
538497,168.36,70
539470,246.38,96
545704,215.55,23
546317,314.96,484
543397,141.92,102
547099,158.95,69
544485,146.8,76
544596,211.0,110
546528,2329.15,1705
547380,214.28,166
544399,256.0,111
548656,16.7,6
552867,1105.0,292
553173,243.75,64
553846,299.45,155
556184,337.55,205
551877,179.0,100
553345,533.7,312
550408,501.84,316
552259,250.52,91
550342,391.67,215
552244,29.89,17
554853,366.56,294
550329,303.49,175
550620,777.25,407
551688,299.81,179
550052,422.55,198
556187,299.78,98
555106,324.92,166
552491,300.3,66
559356,869.9,390
561900,636.49,521
558963,1088.5,622
557846,443.82,530
561597,126.6,32
558555,127.1,52
558711,18.83,13
563253,623.7,391
565740,430.32,192
565144,457.6,220
566559,431.97,157
568050,118.71,118
567085,519.89,317
568551,184.21,250
563167,287.15,335
565223,386.74,112
564713,103.24,41
566311,170.1,78
563847,166.57,71
574476,213.96,145
572241,250.4,69
572134,1096.65,201
573002,4534.22,3069
571708,269.76,280
572999,95.23,21
574107,219.12,104
572734,1632.63,1389
569741,610.91,315
569861,371.69,178
573776,85.45,23
576864,200.78,179
575131,166.7,50
575899,359.9,191
579261,313.8,286
576503,310.1,130
576860,769.36,639
578322,209.94,60
579433,302.87,173
575508,8111.2,6712
578231,286.8,66
578664,243.76,212
577043,174.9,90
575128,521.54,414
576202,915.4,404
578312,229.26,90
577382,12.4,16
576900,343.38,210
576074,306.48,168
538648,760.32,240
536624,610.64,228
539488,1001.52,604
539725,182.19,101
539214,141.3,78
537067,27.45,8
542408,392.01,343
541283,170.46,146
541575,577.02,541
536643,223.7,74
541258,334.2,123
537865,237.95,125
538166,113.2,43
537659,15885.49,3689
544056,287.74,202
546431,414.3,338
544912,303.22,302
542667,453.7,252
544178,388.05,105
545066,234.12,103
548742,375.16,266
542745,339.29,154
545534,222.3,98
543813,76.75,15
548551,364.8,160
543649,610.2,84
556330,272.41,249
553946,691.54,333
549939,334.2,304
551193,228.15,150
549633,375.96,184
552959,474.6,480
553923,279.02,454
553489,467.43,314
551343,200.2,46
558478,114.35,41
557350,587.54,393
558707,96.61,118
561485,249.88,136
560188,322.2,144
559153,321.14,168
561968,221.5,72
561007,649.46,520
557527,712.3,402
559879,5.1,2
564049,314.41,617
564912,424.06,201
567096,410.48,343
563089,304.3,128
566563,328.98,250
567917,1364.61,2235
563737,157.47,57
565093,428.6,236
568795,159.79,77
568999,237.04,168
566178,141.9,49
563169,768.97,491
568688,157.66,128
570103,354.16,173
571284,405.02,146
570098,207.68,176
569843,298.56,301
570841,477.55,220
577776,32.65,3
576867,285.3,122
577402,786.44,248
575724,486.65,119
577851,348.38,154
577726,167.92,70
575127,296.78,168
580167,989.08,880
576063,330.45,115
538068,300.92,499
536502,95.29,39
548336,435.0,612
541798,387.87,197
542003,1368.38,602
539009,498.16,153
537422,193.3,127
541991,323.44,108
540529,479.0,260
543274,145.5,99
547991,30.0,24
543264,255.03,186
547053,499.84,244
544196,202.9,102
548293,1012.6,628
545904,126.65,43
543977,710.31,305
551731,424.42,311
551961,386.5,192
556042,1016.57,402
553911,191.67,85
553052,1249.7,730
552843,399.67,316
551833,500.09,324
556193,306.86,388
550287,138.79,73
550446,509.34,226
551813,224.78,70
555407,419.8,329
557598,202.62,127
556937,1175.32,626
558761,169.8,100
560534,390.98,257
559673,1212.26,665
557214,964.77,544
562451,206.9,52
562313,496.24,230
562519,172.42,82
558760,247.25,158
562783,251.96,274
563732,1000.88,600
565324,157.6,102
567323,288.36,147
563821,301.48,372
568665,282.09,273
566230,418.84,263
567340,971.65,565
569133,310.62,666
563328,111.75,60
568687,75.0,36
563175,339.3,138
573320,2520.28,857
573292,361.0,262
575852,345.99,154
574885,268.08,137
574887,187.48,212
578518,110.57,73
575766,264.12,133
576623,1301.0,1082
580089,464.11,149
579170,188.54,63
580640,185.7,145
581472,447.65,139
580130,122.46,106
554998,207.15,93
559047,1278.1,1342
560441,165.2,24
538801,337.98,384
538653,1247.64,504
541789,7544.91,1927
544295,1097.58,1206
544565,306.0,126
543371,409.93,288
543541,762.11,287
545797,326.91,176
544796,497.59,243
547919,135.09,96
548208,314.1,224
551946,307.0,44
552309,328.45,157
553203,603.78,139
552641,653.98,518
554103,379.41,373
551289,720.92,482
550469,178.41,159
553146,519.68,168
555241,302.45,95
549646,390.54,288
555876,161.02,358
551535,153.75,69
549596,309.52,168
553565,486.99,269
556507,1650.1,557
558687,298.64,285
559120,380.45,248
562928,1119.88,1071
562849,307.22,278
560102,288.57,96
557935,429.8,100
559017,455.17,294
560829,283.12,184
557618,88.3,20
561714,113.25,31
569236,306.73,319
566251,215.87,170
564953,537.96,416
563709,371.56,251
564248,457.92,414
566617,1304.04,346
567460,168.31,76
568176,222.6,112
568915,195.04,116
564647,196.33,104
564438,496.3,256
566926,115.2,48
564359,305.63,118
568954,502.44,176
563211,330.28,176
564337,233.21,376
564317,310.76,178
571065,1881.86,885
572306,510.21,319
574289,131.04,312
572834,38.22,15
570679,376.9,132
574670,281.16,127
570698,237.0,150
571033,1259.46,746
574082,111.08,78
579491,310.67,177
580054,424.36,347
577861,351.64,236
577769,453.08,272
579550,569.09,264
578805,396.14,312
581376,406.42,253
581150,21.41,13
539446,858.0,397
538187,218.1,68
538368,141.04,70
539240,843.78,902
537770,295.66,176
539042,209.08,164
540454,368.52,168
542895,289.24,136
549052,365.79,185
547194,196.64,83
545869,196.45,143
545595,167.91,85
548408,388.45,103
548401,141.85,59
543534,309.06,266
549281,571.3,330
554487,146.5,68
554082,219.96,151
555410,347.9,182
550284,142.16,77
552571,340.05,199
551518,443.85,146
552418,331.7,242
549835,1444.66,990
552461,331.8,84
551623,214.15,99
561077,868.49,399
560882,312.59,148
561072,384.29,233
561869,172.96,75
561995,306.02,383
557119,937.74,604
557889,514.5,358
564526,550.75,397
563095,305.34,190
566016,591.9,470
568040,790.54,479
568984,306.61,67
563216,278.46,134
563435,596.98,450
571281,8132.31,1624
571034,2814.3,644
569493,959.7,535
574233,105.78,66
574097,725.72,377
569673,328.65,122
571241,133.94,107
572323,564.4,532
578225,852.81,441
579145,701.14,448
575060,1095.29,387
577022,331.55,195
578120,381.2,252
576447,304.84,260
579037,688.62,397
581184,106.9,24
581398,604.3,122
573588,214.9,53
537658,395.76,120
537622,165.94,114
538167,298.95,125
539012,1305.6,1536
538183,651.83,279
538844,1194.52,470
539564,756.12,196
536375,259.86,88
545550,148.49,203
546849,88.6,33
547023,833.1,1014
544445,553.3,197
547918,1001.82,478
548737,585.55,297
544115,919.66,777
544039,211.0,31
547893,191.25,23
543669,2256.0,2400
547076,446.15,283
552730,519.6,260
552975,589.01,391
552695,852.68,654
550016,899.19,522
552802,166.94,110
554349,278.78,196
552523,330.0,200
551662,311.13,123
560300,800.46,1202
558877,247.4,211
561024,693.37,263
562935,1253.05,391
560920,385.52,149
556819,420.94,174
559508,103.97,30
558031,168.55,37
561189,101.15,13
564310,2597.0,1372
565384,386.32,172
564479,470.4,206
563381,142.68,91
569705,268.44,104
573347,571.97,366
574734,361.96,184
